name,extension
Reaper,.rpp,.reaperproject,.rpp-bak,.reapindex
Pro Tools,.ptx,.protoolsproject,.pts,.ptf,.tts
Ableton Live,.als,.abletonproject,.adg
Logic Pro X,.logicx,.logic
Cubase,.cpr,.csh,.bak
FL Studio,.flp,.flstudio,.sng,.fst,.prj
Reason,.reason,.rns,.rps
Nuendo,.nuendoproject,.npr,.npk
Bitwig Studio,.bitwigproject,.bwp
GarageBand,.garageband,.band,.template,.cdproj,.omfi
Studio One,.studio1,.song,.pmx,.s1template,.s1project,.songs
Mixcraft,.mix
Cakewalk Sonar,.sonar,.cwp,.wrk
Digital Performer,.dp
Ardour,.ardour,.ardour.bak,.ardour.session
Magix Music Maker,.mmp,.mx4,.mmpzip
MuLab,.mulab
Audacity,.aup,.aup3,.au
N-Track Studio,.sng
OpenMPT,.mptm,.it,.s3m,.xm,.mod
Renoise,.xrns
Rosegarden,.rg,.rgd
Samplitude,.vip,.samplitude,.smd,.vipr
Sibelius,.sib,.sibelius
Tracktion,.trk
Zune Playlist,.zpl
